"slug","url","status","cluster","content_role","search_intent","buyer_stage","primary_keyword","secondary_keywords","owner_rule","primary_cta_url","source_pdf_id","cannibalization_risk","next_action","last_reviewed_at","notes"
"5-asombrosas-claves-importar-productos-digitales-sin-pagar-impuestos","/blog/5-asombrosas-claves-importar-productos-digitales-sin-pagar-impuestos/","published","importacion","soporte","informativa","descubrimiento","importar productos digitales peru","impuestos productos digitales, software importado, licencias digitales","duenia de importacion digital; no competir con guias de importacion fisica","/comercio-exterior/importacion","","bajo","mantener; revisar vigencia tributaria","2026-05-09","Articulo nicho para diferenciar bienes digitales de mercancias fisicas."
"7-claves-flete-falso-flete-guia-esencial","/blog/7-claves-flete-falso-flete-guia-esencial/","published","agencia-carga","soporte","informativa/comercial","validacion operativa","falso flete","dead freight, flete maritimo, contenedor FCL","duenia de falso flete; enlazar a transporte maritimo y agencia de carga","/servicios/agencia-de-carga-internacional","","bajo","mantener; enlazar desde futuras piezas de flete","2026-05-09","Pieza logistica especifica sin solapamiento fuerte con aduanas."
"7-razones-agencias-aduanas-peru-socios-estrategicos","/blog/7-razones-agencias-aduanas-peru-socios-estrategicos/","published","agenciamiento-aduanas","satelite persuasivo","comercial","consideracion","agencias de aduanas peru","beneficios agencia de aduanas, socio estrategico aduanero","no competir con todo-sobre-agencias-de-aduanas; enfoque persuasivo","/servicios/agenciamiento-aduanas","2026-05-01-ds-076-2026-ef-tabla-sanciones-adua","medio","mantener como satelite; no ampliar definicion basica","2026-05-09","Actualizado con referencia de multas sin convertirlo en guia de sanciones."
"acreditacion-medios-de-pago-comercio-internacional","/blog/acreditacion-medios-de-pago-comercio-internacional/","published","comercio-exterior","soporte","informativa/comercial","validacion economica","medios de pago comercio internacional","carta de credito, transferencia internacional, acreditacion SUNAT","duenia de medios de pago; apoyar valoracion aduanera","/servicios/consultoria-aduanera","","bajo","revisar enlace incorrecto a valoracion si aparece","2026-05-09","Soporte para valoracion, tributos y primera importacion."
"agente-de-aduanas-vs-agencia-de-carga","/blog/agente-de-aduanas-vs-agencia-de-carga/","published","importacion","comparativo","comercial","consideracion","agente de aduanas vs agencia de carga","diferencia agente aduanas agencia carga, cuando necesito agente","duenia de comparativa agente vs carga; no duplicar paginas de servicios","/comercio-exterior/importacion","","bajo","mantener; enlazar desde articulos de primera importacion","2026-05-09","Articulo clave para decidir proveedor y filtrar lead."
"calcular-tributos-importacion-peru","/blog/calcular-tributos-importacion-peru/","published","consultoria","satelite tecnico","informativa/comercial","validacion economica","tributos de importacion en peru","ad valorem, IGV importacion, IPM, percepcion","duenia de tributos por tipo; diferenciar de costos totales de importacion","/servicios/consultoria-aduanera","","medio","mantener separado de costos; enlazar ambos entre si","2026-05-09","Riesgo medio con costos de importacion; la separacion es tributos vs costo total."
"clasificacion-arancelaria-cesto-ratan","/blog/clasificacion-arancelaria-cesto-ratan/","published","clasificacion-arancelaria","caso practico","informativa tecnica","validacion regulatoria","clasificacion arancelaria cesto ratan","ratan sintetico, muebles plastico, partida arancelaria","duenia de caso cesto ratan; no competir con hub futuro de clasificacion","/servicios/consultoria-aduanera","","bajo","mantener como caso; enlazar a futuro hub clasificacion","2026-05-09","Caso tecnico para E-E-A-T."
"clasificacion-arancelaria-galaxy-buds-fe-sm-r400","/blog/clasificacion-arancelaria-galaxy-buds-fe-sm-r400/","published","clasificacion-arancelaria","caso practico","informativa tecnica","validacion regulatoria","clasificacion arancelaria galaxy buds fe","Samsung Galaxy Buds FE, homologacion MTC, VUCE","duenia de caso Galaxy Buds FE; diferenciar de Galaxy Buds 3","/servicios/consultoria-aduanera","","medio","mantener; revisar canibalizacion con Galaxy Buds 3","2026-05-09","Dos casos de audifonos deben enlazarse como variantes, no competir."
"clasificacion-arancelaria-galaxy-buds3","/blog/clasificacion-arancelaria-galaxy-buds3/","published","clasificacion-arancelaria","caso practico","informativa tecnica","validacion regulatoria","partida arancelaria audifonos inalambricos","Galaxy Buds 3, auriculares bluetooth, subpartida nacional","duenia de keyword amplia audifonos inalambricos; FE debe ser modelo especifico","/servicios/consultoria-aduanera","","medio","mantener como pagina principal de audifonos","2026-05-09","Puede funcionar como caso principal para auriculares bluetooth."
"como-calcular-costos-de-importacion-en-peru","/blog/como-calcular-costos-de-importacion-en-peru/","published","importacion","pilar economico","informativa/comercial","validacion economica","costos de importacion en peru","calcular costos importacion, valor CIF, gastos locales","duenia de costo total; tributos debe ser satelite tributario","/servicios/consultoria-aduanera","","medio","mantener como pilar economico; no convertir en guia solo tributaria","2026-05-09","Articulo madre para margen, costo total y decision antes de comprar."
"como-crear-una-agencia-de-carga","/blog/como-crear-una-agencia-de-carga/","published","agencia-carga","soporte emprendimiento","informativa","descubrimiento","como crear una agencia de carga","requisitos agencia de carga Peru, MTC, operador logistico","duenia de emprendimiento logistico; baja prioridad comercial","/servicios/agencia-de-carga-internacional","","bajo","mantener; no priorizar para leads importadores","2026-05-09","Contenido mas institucional/emprendedor que lead de importador."
"como-importar-por-primera-vez-en-peru","/blog/como-importar-por-primera-vez-en-peru/","published","importacion","pilar inicial","informativa/comercial","descubrimiento","como importar por primera vez en peru","primera importacion, importar a peru, importador nuevo","duenia de primera importacion; no duplicar con paises o productos especificos","/comercio-exterior/importacion","","bajo","mantener como entrada principal del cluster importadores","2026-05-09","Debe recibir enlaces desde piezas sectoriales y enviar a costos/permisos."
"como-saber-si-tu-producto-necesita-permisos-para-importar-en-peru","/blog/como-saber-si-tu-producto-necesita-permisos-para-importar-en-peru/","published","consultoria","pilar regulatorio","informativa/transaccional","validacion regulatoria","permisos para importar en peru","mercancias restringidas, VUCE, producto restringido SUNAT","duenia de permisos generales; productos especificos deben ser satelites","/servicios/consultoria-aduanera","","bajo","mantener como pilar regulatorio","2026-05-09","Clave para derivar productos sensibles a consultoria."
"despacho-anticipado-obligatorio-peru-excepciones-2026","/blog/despacho-anticipado-obligatorio-peru-excepciones-2026/","published","importacion","guia practica normativa","informativa/comercial","validacion operativa","despacho anticipado obligatorio peru","excepciones despacho anticipado, DESPA-PG.01, segundo lugar de arribo","duenia de despacho anticipado; resolucion 000079 es resumen normativo","/servicios/agenciamiento-aduanas","2026-05-08-rs-000079-2026-sunat-importacion-consumo","medio","mantener como URL principal de despacho anticipado","2026-05-09","Separar de la pagina de resolucion por enfoque practico."
"documentos-digitalizados-importacion-sunat-vuce","/blog/documentos-digitalizados-importacion-sunat-vuce/","published","importacion","checklist operativo","informativa/comercial","validacion operativa","documentos digitalizados importacion","VUCE importacion, certificado de origen, documento de transporte, seguro","duenia de documentos digitalizados; apoyar resolucion 000079","/servicios/agenciamiento-aduanas","2026-05-08-rs-000079-2026-sunat-importacion-consumo","bajo","mantener como checklist documental","2026-05-09","Buen satelite operativo para resolucion 000079."
"ds-076-2026-ef-cambios-tabla-sanciones-aduaneras","/blog/ds-076-2026-ef-cambios-tabla-sanciones-aduaneras/","published","fiscalizacion","satelite normativo","informativa urgente","validacion regulatoria","DS 076-2026-EF","tabla de sanciones aduaneras, cambios multas aduaneras 2026","duenia del decreto; multas aduaneras es guia practica","/servicios/consultoria-aduanera","2026-05-01-ds-076-2026-ef-tabla-sanciones-adua","medio","mantener como satelite del decreto; enlazar a guia de multas","2026-05-09","No debe competir por guia general de multas."
"estado-actual-de-agentes-de-carga","/blog/estado-actual-de-agentes-de-carga/","published","agencia-carga","analisis sectorial","investigacion","descubrimiento","agentes de carga peru 2025","mercado agentes de carga, SUNAT operadores comercio exterior","duenia de panorama sectorial; no competir con definicion de agencia de carga","/servicios/agencia-de-carga-internacional","","bajo","mantener; actualizar datos si se usan en ventas","2026-05-09","Contenido de autoridad sectorial."
"exportaciones-quinua-mayo-2025","/blog/exportaciones-quinua-mayo-2025/","published","exportacion","caso sectorial","informativa","descubrimiento","exportaciones de quinua peru","exportar quinua, quinua peru mercados","duenia de caso quinua; futuro hub exportacion debe ser general","/comercio-exterior/exportacion","","bajo","mantener; enlazar desde futura guia de exportacion","2026-05-09","Caso de producto para cluster de exportacion."
"guia-inspeccion-no-intrusiva-puertos-2024","/blog/guia-inspeccion-no-intrusiva-puertos-2024/","published","agenciamiento-aduanas","guia tecnica","informativa/transaccional","validacion operativa","inspeccion no intrusiva aduanas","SINI, escaner aduanas, canal rojo","duenia de SINI; no competir con multas o canal rojo general","/servicios/agenciamiento-aduanas","","bajo","mantener; revisar fecha 2024 si aplica actualizacion","2026-05-09","Tema tecnico de alta urgencia cuando el contenedor es seleccionado."
"importaciones-implementos-seguridad-peru-mayo-2025","/blog/importaciones-implementos-seguridad-peru-mayo-2025/","published","importacion","guia sectorial","informativa/comercial","validacion regulatoria","importar implementos de seguridad peru","EPP, equipos proteccion personal, DIGESA","duenia de EPP; no competir con suplementos o permisos generales","/servicios/consultoria-aduanera","","bajo","mantener; revisar vigencia de permisos sectoriales","2026-05-09","Sectorial con potencial para actualizar por regulacion."
"importar-de-china-a-peru","/blog/importar-de-china-a-peru/","published","importacion","pilar pais","informativa/comercial","descubrimiento","importar de china a peru","costos importar China Peru, Alibaba Peru, carga China","duenia de pais China; sectoriales deben enlazar aqui","/comercio-exterior/importacion/importar-desde-china","","bajo","mantener como pilar pais; actualizar interlinks nuevos","2026-05-09","Debe conectar con textiles, costos, tributos y permisos."
"importar-electronicos-a-peru-requisitos-y-permisos","/blog/importar-electronicos-a-peru-requisitos-y-permisos/","published","importacion","guia sectorial","informativa/transaccional","validacion regulatoria","importar electronicos a peru","homologacion MTC, VUCE, permisos electronicos","duenia de electronicos; casos de audifonos son satelites tecnicos","/servicios/consultoria-aduanera","","bajo","mantener; enlazar a casos de clasificacion electronica","2026-05-09","Buen puente entre permisos y clasificacion."
"importar-ropa-textiles-china-peru","/blog/importar-ropa-textiles-china-peru/","published","importacion","guia sectorial","informativa/transaccional","validacion regulatoria","importar ropa de china a peru","textiles China Peru, antidumping textiles, aranceles ropa importada","duenia de textiles; importar China debe ser pilar pais","/servicios/consultoria-aduanera","2026-05-01-ds-076-2026-ef-tabla-sanciones-adua","bajo","mantener como vertical sectorial","2026-05-09","Actualizada con enlaces a multas y decreto."
"importar-suplementos-vitaminas-peru","/blog/importar-suplementos-vitaminas-peru/","published","consultoria","guia sectorial","informativa/transaccional","validacion regulatoria","importar suplementos a peru","DIGEMID suplementos, DIGESA alimentos, registro sanitario suplementos","duenia de suplementos; permisos generales es pilar superior","/servicios/consultoria-aduanera","2026-05-01-ds-076-2026-ef-tabla-sanciones-adua","bajo","mantener como vertical de alta intencion","2026-05-09","Actualizada con enlaces a multas y decreto."
"importar-trimotos-electricas-peru-partida-arancelaria","/blog/importar-trimotos-electricas-peru-partida-arancelaria/","published","importacion","guia comercial-practica","comercial/transaccional","validacion regulatoria","importar trimotos electricas a peru","requisitos importacion vehiculos electricos, vehiculos electricos peru","duenia de importar trimotos; Tailg es caso tecnico de partida","/servicios/consultoria-aduanera","2026-05-04-rd-000241-2026-sunat-trimoto-tailg","medio","mantener enfoque en requisitos y riesgos; no titular por partida","2026-05-09","Se ajusto para reducir canibalizacion con caso Tailg."
"multas-aduaneras-sunat-como-evitarlas","/blog/multas-aduaneras-sunat-como-evitarlas/","published","fiscalizacion","guia practica","informativa/transaccional","validacion regulatoria","multas aduaneras SUNAT","tabla sanciones aduaneras, infracciones aduaneras Peru","duenia de guia practica de multas; DS 076 es satelite normativo","/servicios/consultoria-aduanera","2026-05-01-ds-076-2026-ef-tabla-sanciones-adua","medio","mantener como URL principal de multas","2026-05-09","Actualizada con multas dirigidas a importador y exportador."
"notificacion-de-salida-de-mercancias","/blog/notificacion-de-salida-de-mercancias/","published","exportacion","tutorial tecnico","informativa/transaccional","validacion operativa","notificacion de salida de mercancias","regularizacion exportacion, DAM 40, salida SUNAT","duenia de notificacion de salida; no competir con guia general exportacion","/servicios/agenciamiento-aduanas","2026-05-01-ds-076-2026-ef-tabla-sanciones-adua","bajo","mantener; enlazar desde futuro hub exportacion","2026-05-09","Actualizada para no citar multa fija desactualizada."
"operador-logistico-cadena-suministro-post-covid","/blog/operador-logistico-cadena-suministro-post-covid/","published","agencia-carga","analisis sectorial","investigacion","descubrimiento","operador logistico cadena de suministro","logistica post covid, supply chain, nearshoring","duenia de operador logistico; no competir con agencia de carga","/servicios/agencia-de-carga-internacional","","bajo","mantener; posible refresh por actualidad","2026-05-09","Autoridad general de logistica."
"partida-arancelaria-trimoto-electrica-tailg-sunny","/blog/partida-arancelaria-trimoto-electrica-tailg-sunny/","published","clasificacion-arancelaria","caso practico","informativa tecnica","validacion regulatoria","partida arancelaria trimoto electrica","Tailg Sunny, 8703.80.90.20, clasificacion arancelaria SUNAT","duenia de partida trimoto/Tailg; importar trimotos es guia comercial","/servicios/consultoria-aduanera","2026-05-04-rd-000241-2026-sunat-trimoto-tailg","medio","mantener como URL tecnica principal","2026-05-09","Posee la keyword exacta de partida arancelaria trimoto electrica."
"que-es-una-agencia-de-carga-internacional","/blog/que-es-una-agencia-de-carga-internacional/","published","agencia-carga","pilar definicional","informativa/comercial","descubrimiento","que es una agencia de carga internacional","freight forwarder, agencia de carga Peru, carga internacional","duenia de definicion agencia de carga; servicios debe convertir","/servicios/agencia-de-carga-internacional","","bajo","mantener como pilar definicional","2026-05-09","Debe enlazar a comparativas y servicios logisticos."
"registrar-mandato-electronico-sunat","/blog/registrar-mandato-electronico-sunat/","published","agenciamiento-aduanas","tutorial","informativa/transaccional","validacion operativa","mandato electronico SUNAT","generar mandato electronico, clave SOL, agente de aduanas","duenia de mandato electronico; no competir con guia agencias","/servicios/agenciamiento-aduanas","","bajo","mantener; revisar capturas si SUNAT cambia interfaz","2026-05-09","Tutorial con intencion muy especifica."
"resolucion-000079-2026-sunat-importacion-consumo","/blog/resolucion-000079-2026-sunat-importacion-consumo/","published","importacion","satelite normativo","informativa urgente","validacion operativa","Resolucion 000079-2026 SUNAT","DESPA-PG.01, rectificacion manifiesto, importacion para el consumo","duenia de resolucion 000079; despacho y documentos son guias practicas","/servicios/consultoria-aduanera","2026-05-08-rs-000079-2026-sunat-importacion-consumo","medio","mantener como resumen normativo; no ampliar guias practicas","2026-05-09","Titulo ajustado para separar intencion normativa."
"servicios-clave-agencia-de-cargas","/blog/servicios-clave-agencia-de-cargas/","published","agencia-carga","satelite comercial","comercial","consideracion","servicios agencia de carga","servicios logisticos, almacenaje, seguro de carga, ultima milla","duenia de servicios de agencia de carga; no competir con servicio principal","/servicios/agencia-de-carga-internacional","","medio","mantener; cuidar solapamiento con pagina de servicio","2026-05-09","Debe actuar como educacion previa, no como landing duplicada."
"todo-sobre-agencias-de-aduanas","/blog/todo-sobre-agencias-de-aduanas/","published","agenciamiento-aduanas","pilar definicional","informativa/comercial","descubrimiento","agencias de aduanas en Peru","agente de aduanas, despachador de aduanas, DAM","duenia de definicion agencias; 7 razones es satelite persuasivo","/servicios/agenciamiento-aduanas","","bajo","mantener como pilar de agenciamiento","2026-05-09","Cornerstone historico del cluster de aduanas."
"transporte-maritimo-internacional-cotizacion-fletes-gestion-contenedores","/blog/transporte-maritimo-internacional-cotizacion-fletes-gestion-contenedores/","published","agencia-carga","pilar logistico","informativa/comercial","validacion operativa","transporte maritimo internacional","cotizacion fletes, contenedores, Bill of Lading, FCL LCL","duenia de transporte maritimo; falso flete es satelite","/servicios/agencia-de-carga-internacional","","bajo","mantener como pilar logistico","2026-05-09","Pieza madre de fletes y contenedores."
"valoracion-aduanera-peru","/blog/valoracion-aduanera-peru/","published","consultoria","pilar tecnico","informativa/comercial","validacion economica","valoracion aduanera en Peru","valor en aduana, valor CIF, metodos de valoracion","duenia de valoracion; costos y tributos son satelites economicos","/servicios/consultoria-aduanera","2026-05-01-ds-076-2026-ef-tabla-sanciones-adua","bajo","mantener como pilar tecnico-economico","2026-05-09","Actualizada con enlaces a multas y decreto."
"importar-juguetes-utiles-escritorio","/comercio-exterior/importacion/importar-juguetes-utiles-escritorio/","published","importacion","guia evergreen por categoria","comercial/transaccional","validacion regulatoria","importar juguetes a Peru","importar utiles de escritorio, autorizacion sanitaria DIGESA juguetes, requisitos juguetes Peru, rotulado juguetes","duenia de importar juguetes y utiles de escritorio; futuras noticias MINSA deben enlazar aqui","/servicios/consultoria-aduanera","2026-05-11-rm-457-2026-minsa-juguetes-utiles","bajo","mantener como pagina principal de categoria y actualizar si el proyecto MINSA se aprueba","2026-05-16","Guia pilar evergreen con checklist PDF descargable. La RM 457-2026/MINSA se presenta como proyecto en consulta."
"rotulado-juguetes-importados-peru","/blog/rotulado-juguetes-importados-peru/","published","importacion","satelite regulatorio-practico","informativa/transaccional","validacion regulatoria","rotulado juguetes Peru","advertencias juguetes, edad recomendada juguetes, importar juguetes a Peru, DIGESA juguetes","duenia de rotulado; no duplicar guia pilar de importar juguetes, enlazar a la categoria principal","/comercio-exterior/importacion/importar-juguetes-utiles-escritorio/","2026-05-11-rm-457-2026-minsa-juguetes-utiles","bajo","mantener como satelite de rotulado y actualizar si el proyecto MINSA se aprueba","2026-05-17","Articulo especifico sobre rotulado, advertencias e informacion al consumidor. Trata la RM 457-2026/MINSA como proyecto en consulta."
"certificados-ensayo-juguetes-utiles-peru","/blog/certificados-ensayo-juguetes-utiles-peru/","published","consultoria","satelite documental-tecnico","informativa/transaccional","validacion regulatoria","certificado de ensayo juguetes Peru","certificados proveedor juguetes, ensayo juguetes utiles, DIGESA juguetes, utiles de escritorio","duenia de certificados de ensayo; no competir con pagina pilar ni con permisos generales","/servicios/consultoria-aduanera","2026-05-11-rm-457-2026-minsa-juguetes-utiles","bajo","mantener como satelite documental y enlazar desde articulos de juguetes/utiles","2026-05-17","Articulo para validar certificados, modelo, lote, laboratorio y alcance. Usa PDF 03 como senal regulatoria."
"importar-utiles-escolares-peru-revision-sanitaria","/blog/importar-utiles-escolares-peru-revision-sanitaria/","published","importacion","satelite sectorial","informativa/transaccional","validacion regulatoria","importar utiles escolares Peru","DIGESA utiles escolares, importar plumones Peru, importar crayones Peru, campana escolar importacion","duenia de utiles escolares; pilar de categoria sigue siendo juguetes y utiles de escritorio","/comercio-exterior/importacion/importar-juguetes-utiles-escritorio/","2026-05-11-rm-457-2026-minsa-juguetes-utiles","bajo","mantener como satelite de utiles escolares y revisar vigencia si cambia norma sanitaria","2026-05-17","Articulo para campana escolar y revision sanitaria de crayones, plumones, temperas, plastilinas y kits."
